	doc_id	texts	field_id	can_targets	can_labels	cand_pos	can_tokens	tokens_pos
0	000.json	25/12/2018 8:13:39 PM	date	Positive	date	[0.5475161987041036, 0.37561697926949655]	['document', 'date', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.19222462203023755, -0.029615004935834188], [-0.3898488120950323, 0.000493583415597243], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
1	000.json	9.000	background	Negative	total	[0.48272138228941686, 0.5967423494570583]	['code', 'price', 'qti', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.31965442764578833, -0.08785784797630802], [0.0, -0.08933859822309975], [-0.2980561555075594, -0.06317867719644621], [-0.30561555075593955, -0.027640671273445272], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
2	000.json	9.00	total	Positive	total	[0.9222462203023758, 0.5967423494570583]	['amount', 'qti', '<PAD/>', '<PAD/>', '<Number/>', 'model', '<PAD/>', '<PAD/>', '<Number/>', '<Number/>']	[[-0.04211663066954641, -0.08933859822309975], [-0.7375809935205183, -0.06317867719644621], [-1, -1], [-1, -1], [-0.7451403887688985, -0.027640671273445272], [-0.32289416846652264, -0.02714708785784803], [-1, -1], [-1, -1], [-0.43952483801295894, 0.0], [-0.29157667386609065, 0.000493583415597243]]
3	000.json	9.00	total	Positive	total	[0.9114470842332614, 0.7018756169792695]	['total', 'rour', '<Number/>', 'round', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.33045356371490286, -0.06169792694965448], [-0.4697624190064795, -0.031589338598223105], [0.0075593952483801186, -0.03405725567620921], [-0.5032397408207343, 0.0024679170779862147], [0.010799136069114423, -0.06367226061204345], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
4	000.json	10.00	background	Negative	total	[0.9103671706263499, 0.7458045409674235]	['rour', '<Number/>', 'round', '<Number/>', 'cash', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.468682505399568, -0.07551826258637717], [0.008639308855291628, -0.07798617966436328], [-0.5021598272138228, -0.04146100691016785], [0.001079913606911509, -0.04392892398815407], [-0.42656587473002155, -0.000987166831194486], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
5	000.json	1.00	background	Negative	total	[0.9233261339092873, 0.7690029615004936]	['rour', 'round', '<Number/>', 'cash', '<Number/>', 'chang', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.48164146868250546, -0.09871668311944726], [-0.5151187904967602, -0.06465942744323794], [-0.011879049676025932, -0.06712734452122415], [-0.439524838012959, -0.02418558736426457], [-0.012958963282937441, -0.023198420533070085], [-0.40928725701943847, 0.0], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
6	000.json	9.00	total	Positive	total	[0.9222462203023758, 0.638203356367226]	['<Number/>', 'model', '<PAD/>', '<PAD/>', '<Number/>', '<Number/>', '<Number/>', 'total', '<PAD/>', '<PAD/>']	[[-0.7451403887688985, -0.06910167818361301], [-0.32289416846652264, -0.06860809476801577], [-1, -1], [-1, -1], [-0.43952483801295894, -0.04146100691016774], [-0.29157667386609065, -0.0409674234945705], [0.0, -0.04146100691016774], [-0.3412526997840173, 0.001974333662388972], [-1, -1], [-1, -1]]
7	001.json	19/10/2018 20:49:59 #01	date	Positive	date	[0.3109339407744875, 0.37649402390438247]	['<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
8	001.json	LOCATION/SP: 05 /0531	background	Negative	date	[0.6503416856492027, 0.3999003984063745]	['receipt', '<PAD/>', 'cashier', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.17425968109339401, -0.0747011952191235], [-1, -1], [-0.4715261958997722, 0.0019920318725099584], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
9	001.json	10.00	background	Negative	total	[0.6059225512528473, 0.575199203187251]	['room', 'desc', 'qti', 'price', 'privileg', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.43280182232346237, -0.09860557768924305], [-0.4487471526195899, -0.04930278884462158], [-0.15603644646924825, -0.04880478087649409], [-0.005694760820045497, -0.05129482071713154], [-0.2665148063781321, -0.02639442231075706], [-0.4931662870159453, 0.0004980079681274896], [-0.12870159453302954, -0.0009960159362549792], [-1, -1], [-1, -1], [-1, -1]]
